city,avg_weather_score,temp_avg,pop,rain,humidity,wind_speed,clouds,city_id,latitude,longitude
Aix en Provence,76.33,13.0,0.0,0.0,70.423611,1.533194,59.155556,22,43.529842,5.447474
Marseille,76.17,15.1,3.3,0.15,67.215278,2.989028,60.756944,21,43.296174,5.369953
Bormes les Mimosas,76.0,13.0,0.0,0.0,75.313889,2.271736,50.025,19,43.150697,6.341928
Cassis,73.67,14.3,7.2,0.34,67.840278,2.722472,57.023611,20,43.214036,5.539632
Avignon,71.83,12.9,0.0,0.0,72.815278,2.942667,52.477778,23,43.949249,4.805901
