hotel_id,city,hotel_name,url,property_type,score,number_of_reviews,price_per_night,price_per_person_night,currency,price_total_source,currency_source,nights,max_guests,latitude,longitude,avg_weather_score,temp_avg,rain,clouds,weather_score_norm,hotel_score_norm,price_score_norm,final_score,facilities,image_url,rank
12374468,Aix en Provence,La Villa Rustica,https://www.booking.com/hotel/fr/la-villa-rustica.html?checkin=2025-12-11&checkout=2025-12-13&group_adults=2&no_rooms=1&group_children=&chal_t=1762887750037&force_referer=,HOLIDAY_HOME,9.8,66,101.08,25.27,EUR,234.0,USD,2.0,4.0,43.5587933,5.4488615,76.33,13.0,0.0,59.155556,7.633,9.8,9.473,8.8678,"Non-smoking rooms, Free Wifi, Free parking, Terrace, Garden",https://cf.bstatic.com/xdata/images/hotel/square60/588123071.jpg?k=beb76014429052f24ba50b1959a8a71681232a1bbf653ca4e17715c2a784e0da&o=,1
12906801,Bormes les Mimosas,La Favière proche de la plage,https://www.booking.com/hotel/fr/la-faviere-proche-de-la-plage.html?checkin=2025-12-11&checkout=2025-12-13&group_adults=2&no_rooms=1&group_children=,APARTMENT,9.5,12,104.54,26.13,EUR,242.0,USD,2.0,4.0,43.12345,6.35285,76.0,13.0,0.0,50.025,7.6,9.5,9.387,8.7174,"Non-smoking rooms, Free Wifi, Beachfront, Free parking, Non-smoking rooms",https://cf.bstatic.com/xdata/images/hotel/square60/615375893.jpg?k=104f7344be729697daa231ed96bbc8ab4c98218ff4365d53d68cfafa7baf035f&o=,2
14306848,Bormes les Mimosas,Romantic getaway in Bormes,https://www.booking.com/hotel/fr/romantic-getaway-in-bormes.html?checkin=2025-12-11&checkout=2025-12-13&group_adults=2&no_rooms=1&group_children=,APARTMENT,9.5,12,128.73,32.18,EUR,298.0,USD,2.0,4.0,43.150652,6.3411229,76.0,13.0,0.0,50.025,7.6,9.5,8.782,8.5964,"Non-smoking rooms, Free Wifi, Non-smoking rooms, Free Wifi",https://cf.bstatic.com/xdata/images/hotel/square60/766197621.jpg?k=04b07145b348d39e7237101a1f0e9c668de721a759918a3e8c9a5c5f24a3a522&o=,3
7618701,Avignon,Apartment-NO elevator-Free private parking-Self check in !! Appartement-PAS ascenseur-Parking privé gratuit-Arrivée autonome!!,https://www.booking.com/hotel/fr/intramuros-parking-prive-wifi-smarttv50.html?checkin=2025-12-11&checkout=2025-12-13&group_adults=2&no_rooms=1&group_children=,APARTMENT,9.6,158,107.99,27.0,EUR,250.0,USD,2.0,4.0,43.95092289445271,4.818413211967911,71.83,12.9,0.0,52.477778,7.183,9.6,9.3,8.5732,"Free Wifi, Free parking, Free Wifi, Free parking",https://cf.bstatic.com/xdata/images/hotel/square60/690648133.jpg?k=ca13cf0daebddd074ef7e1856814da04ddc0c84a975c61c87db06684b37e582e&o=,4
2682936,Avignon,L'Oriflamme,https://www.booking.com/hotel/fr/sutdio-quot-l-39-oriflamme-quot.html?checkin=2025-12-11&checkout=2025-12-13&group_adults=2&no_rooms=1&group_children=,APARTMENT,9.5,431,58.75,29.37,EUR,136.0,USD,2.0,2.0,43.9496041,4.81154160000006,71.83,12.9,0.0,52.477778,7.183,9.5,9.063,8.485800000000001,"Non-smoking rooms, Free Wifi, Free parking, Family rooms, Non-smoking rooms",https://cf.bstatic.com/xdata/images/hotel/square60/253428187.jpg?k=b433b87ce10eb39834c76a147ef00e7196421ef4174a6dec36aad5e2f6b7f158&o=,5
13362570,Bormes les Mimosas,Le Mas de la Palmeraie - Studio dans propriété privée au calme avec piscine et tennis,https://www.booking.com/hotel/fr/le-mas-de-la-palmeraie-studio-dans-propriete-privee-au-calme-avec-piscine-et-ten.html?checkin=2025-12-11&checkout=2025-12-13&group_adults=2&no_rooms=1&group_children=&chal_t=1762887420179&force_referer=,APARTMENT,9.7,4,85.53,42.76,EUR,198.0,USD,2.0,2.0,43.1272081,6.3316222,76.0,13.0,0.0,50.025,7.6,9.7,7.724000000000001,8.4648,"Indoor swimming pool, Free Wifi, Free parking, Family rooms, Indoor swimming pool",https://cf.bstatic.com/xdata/images/hotel/square60/632635993.jpg?k=f46ff2a851184f3cfc9b2ef68aedb19aef3d051ea6bb287f831df5dcd9d2b284&o=,6
11732528,Avignon,Centre Palais des Papes B2 Clim - 123Avignon,https://www.booking.com/hotel/fr/centre-palais-des-papes-clim-123avignon.html?checkin=2025-12-11&checkout=2025-12-13&group_adults=2&no_rooms=1&group_children=&chal_t=1762886040616&force_referer=,APARTMENT,9.1,50,73.0,24.34,EUR,169.0,USD,2.0,3.0,43.949537613284,4.808402317791,71.83,12.9,0.0,52.477778,7.183,9.1,9.566,8.426400000000001,"Non-smoking rooms, Free Wifi, Non-smoking rooms, Free Wifi",https://cf.bstatic.com/xdata/images/hotel/square60/537289221.jpg?k=f527591b08f9247cb315d40b419d1a16a3a4345d0b6c1a00a8c153193c8e0f0c&o=,7
2577385,Cassis,Le Bosquet,https://www.booking.com/hotel/fr/le-bosquet-cassis1.html?checkin=2025-12-11&checkout=2025-12-13&group_adults=2&no_rooms=1&group_children=,APARTMENT,9.3,26,139.52,34.89,EUR,323.0,USD,2.0,4.0,43.2178808,5.53613129999997,73.67,14.3,0.34,57.023611,7.367,9.3,8.511,8.369,"Non-smoking rooms, Free parking, Terrace, Non-smoking rooms, Free parking",https://cf.bstatic.com/xdata/images/hotel/square60/107617941.jpg?k=cc1252fb9e1cdb0915c4e22d823a2808a9199d397aec91ac6a094a4b4183ae6b&o=,8
10491032,Cassis,La Cigale du Port,https://www.booking.com/hotel/fr/le-roucas-cassis.html?checkin=2025-12-11&checkout=2025-12-13&group_adults=2&no_rooms=1&group_children=,APARTMENT,9.0,48,119.65,29.91,EUR,277.0,USD,2.0,4.0,43.2177957,5.5358322,73.67,14.3,0.34,57.023611,7.367,9.0,9.009,8.348600000000001,"Non-smoking rooms, Free Wifi, Free parking, Non-smoking rooms, Free Wifi",https://cf.bstatic.com/xdata/images/hotel/square60/479525397.jpg?k=5a105c68ba0eea7c8d8ba3413d6476aa8ba203bc9218bfeaec0b4c4e19ea0b11&o=,9
8375742,Cassis,Le petit cassis,https://www.booking.com/hotel/fr/le-petit-cassis-cassis1.html?checkin=2025-12-11&checkout=2025-12-13&group_adults=2&no_rooms=1&group_children=,APARTMENT,8.7,105,76.89,25.63,EUR,178.0,USD,2.0,3.0,43.2187069,5.5399636,73.67,14.3,0.34,57.023611,7.367,8.7,9.437000000000001,8.3142,"Non-smoking rooms, Terrace, Non-smoking rooms, Terrace",https://cf.bstatic.com/xdata/images/hotel/square60/349958575.jpg?k=52d4f4dc42005666fd6b498d023d4bb193d6c2a64d5f22b0b66c448b006ac519&o=,10
2021124,Cassis,La Rade,https://www.booking.com/hotel/fr/la-rade-cassis1.html?checkin=2025-12-11&checkout=2025-12-13&group_adults=2&no_rooms=1&group_children=,APARTMENT,9.0,70,129.59,32.4,EUR,300.0,USD,2.0,4.0,43.21534787329778,5.534749031066895,73.67,14.3,0.34,57.023611,7.367,9.0,8.759999999999998,8.2988,"Non-smoking rooms, Free Wifi, Free parking, Family rooms, Terrace",https://cf.bstatic.com/xdata/images/hotel/square60/459679418.jpg?k=06a5576c9608f9eabffccde93be10d4e7280869dd91459f15bd6763084b4d4d9&o=,11
53432,Marseille,Aparthotel Adagio Access Marseille Prado Périer,https://www.booking.com/hotel/fr/citea-marseille-prado-perier.html?checkin=2025-12-11&checkout=2025-12-13&group_adults=2&no_rooms=1&group_children=&chal_t=1762886238254&force_referer=,APARTHOTEL,8.2,2014,101.08,25.27,EUR,234.0,USD,2.0,4.0,43.278692338557065,5.388060361146927,76.17,15.1,0.15,60.756944,7.617,8.2,9.473,8.221400000000001,"Non-smoking rooms, Facilities for disabled guests, Free Wifi, Family rooms, Elevator",https://cf.bstatic.com/xdata/images/hotel/max200/750929394.jpg?k=8123c2d0d21194414d01f6f70d2cf9e7922007030a4f4760f640ce4565871a5f&o=,12
4422171,Bormes les Mimosas,Boulevard du Soleil,https://www.booking.com/hotel/fr/boulevard-du-soleil.html?checkin=2025-12-11&checkout=2025-12-13&group_adults=2&no_rooms=1&group_children=&chal_t=1762886881324&force_referer=,APARTMENT,9.5,58,104.54,52.27,EUR,242.0,USD,2.0,2.0,43.149232813225,6.341970146281,76.0,13.0,0.0,50.025,7.6,9.5,6.772999999999999,8.1946,"Free Wifi, Free parking, Free Wifi, Free parking",https://cf.bstatic.com/xdata/images/hotel/square60/704371096.jpg?k=971284d88d50cf932d134905180a0f4f98ad8b875e0c99a9ac07ef5f7429cced&o=,13
53262,Aix en Provence,Aparthotel Adagio Aix-en-Provence Centre,https://www.booking.com/hotel/fr/pierre-vacances-city-centre.html?checkin=2025-12-11&checkout=2025-12-13&group_adults=2&no_rooms=1&group_children=,APARTHOTEL,8.5,1916,132.18,33.05,EUR,306.0,USD,2.0,4.0,43.52890621393209,5.440869033336639,76.33,13.0,0.0,59.155556,7.633,8.5,8.695,8.192200000000001,"Non-smoking rooms, Facilities for disabled guests, Free Wifi, Private Parking, Family rooms",https://cf.bstatic.com/xdata/images/hotel/square60/700052649.jpg?k=826f47de3b1d05ca5d219620f2672d077b218b60bab64d02fa67ca4fd29fceb5&o=,14
