city_id,city,city_latitude,city_longitude,avg_weather_score,temp_avg,rain_probability,rain_volume,humidity,wind_speed,clouds,weather_detail,is_top5,hotel_id,hotel_name,hotel_url,property_type,hotel_score,number_of_reviews,price_per_night_eur,price_per_person_night_eur,hotel_latitude,hotel_longitude,final_score,rank,facilities
1,Aix en Provence,43.5298424,5.4474738,76.33,13.0,0.0,0.0,70.423611,1.533194,59.155556,complet,True,12374468.0,La Villa Rustica,https://www.booking.com/hotel/fr/la-villa-rustica.html?checkin=2025-12-11&checkout=2025-12-13&group_adults=2&no_rooms=1&group_children=&chal_t=1762887750037&force_referer=,HOLIDAY_HOME,9.8,66.0,101.08,25.27,43.5587933,5.4488615,8.8678,1,"Non-smoking rooms, Free Wifi, Free parking, Terrace, Garden"
1,Aix en Provence,43.5298424,5.4474738,76.33,13.0,0.0,0.0,70.423611,1.533194,59.155556,complet,True,53262.0,Aparthotel Adagio Aix-en-Provence Centre,https://www.booking.com/hotel/fr/pierre-vacances-city-centre.html?checkin=2025-12-11&checkout=2025-12-13&group_adults=2&no_rooms=1&group_children=,APARTHOTEL,8.5,1916.0,132.18,33.05,43.52890621393209,5.440869033336639,8.192200000000001,14,"Non-smoking rooms, Facilities for disabled guests, Free Wifi, Private Parking, Family rooms"
1,Aix en Provence,43.5298424,5.4474738,76.33,13.0,0.0,0.0,70.423611,1.533194,59.155556,complet,True,13840630.0,Studio climatisé plein centre 4eme étage,https://www.booking.com/hotel/fr/studio-plein-centre-3eme-etage.html?checkin=2025-12-11&checkout=2025-12-13&group_adults=2&no_rooms=1&group_children=&chal_t=1762886886874&force_referer=,APARTMENT,8.4,24.0,75.16,37.58,43.5302425,5.4470586,8.0616,21,"Non-smoking rooms, Free Wifi, Non-smoking rooms, Free Wifi"
1,Aix en Provence,43.5298424,5.4474738,76.33,13.0,0.0,0.0,70.423611,1.533194,59.155556,complet,True,2757802.0,B&B HOTEL Aix-en-Provence Pont de l'Arc,https://www.booking.com/hotel/fr/b-amp-b-aix-en-provence-pont-de-l-39-arc.html?checkin=2025-12-11&checkout=2025-12-13&group_adults=2&no_rooms=1&group_children=&chal_t=1762886081839&force_referer=,HOTEL,7.5,2164.0,82.51,20.63,43.5111713,5.4446805,8.040600000000001,24,"Non-smoking rooms, Free Wifi, Free parking, Family rooms, Good Breakfast"
1,Aix en Provence,43.5298424,5.4474738,76.33,13.0,0.0,0.0,70.423611,1.533194,59.155556,complet,True,231026.0,Best Western Hotel le Galice Aix-en-Provence,https://www.booking.com/hotel/fr/best-western-le-galice.html?checkin=2025-12-11&checkout=2025-12-13&group_adults=2&no_rooms=1&group_children=&chal_t=1762886088164&force_referer=,HOTEL,8.0,2637.0,130.89,32.73,43.52803110430644,5.434359312057495,7.9986000000000015,28,"Outdoor swimming pool, Non-smoking rooms, Facilities for disabled guests, Restaurant, Free Wifi"
1,Aix en Provence,43.5298424,5.4474738,76.33,13.0,0.0,0.0,70.423611,1.533194,59.155556,complet,True,2203411.0,Les Suites du Cours & Spa,https://www.booking.com/hotel/fr/les-suites-du-cours.html?checkin=2025-12-11&checkout=2025-12-13&group_adults=2&no_rooms=1&group_children=,APARTMENT,9.2,377.0,177.11,59.03,43.5269723441162,5.44928753701095,7.9526,29,"Non-smoking rooms, Spa, Free Wifi, Parking, Family rooms"
1,Aix en Provence,43.5298424,5.4474738,76.33,13.0,0.0,0.0,70.423611,1.533194,59.155556,complet,True,219754.0,Campanile Prime - Aix-en-Provence Sud - Pont de l'Arc,https://www.booking.com/hotel/fr/campanile-aix-en-provence-sud.html?checkin=2025-12-11&checkout=2025-12-13&group_adults=2&no_rooms=1&group_children=,HOTEL,7.8,3003.0,66.95,33.48,43.511916316958825,5.436653941869736,7.903600000000001,33,"Non-smoking rooms, Facilities for disabled guests, Restaurant, Free Wifi, Free parking"
1,Aix en Provence,43.5298424,5.4474738,76.33,13.0,0.0,0.0,70.423611,1.533194,59.155556,complet,True,282810.0,Adonis Arc Hotel Aix,https://www.booking.com/hotel/fr/arc-aix-hotel.html?checkin=2025-12-11&checkout=2025-12-13&group_adults=2&no_rooms=1&group_children=,HOTEL,7.6,1414.0,69.11,34.56,43.51371445304431,5.470212399959564,7.8020000000000005,42,"Outdoor swimming pool (temporarily closed), Non-smoking rooms, Facilities for disabled guests, Free Wifi, Private Parking"
1,Aix en Provence,43.5298424,5.4474738,76.33,13.0,0.0,0.0,70.423611,1.533194,59.155556,complet,True,8309819.0,Lou Pitchoun,https://www.booking.com/hotel/fr/lou-pitchoun-aix-en-provence.html?checkin=2025-12-11&checkout=2025-12-13&group_adults=2&no_rooms=1&group_children=&chal_t=1762887522922&force_referer=,APARTMENT,8.5,101.0,106.7,53.35,43.5310473,5.4495993,7.786200000000001,43,"Non-smoking rooms, Free Wifi, Non-smoking rooms, Free Wifi"
1,Aix en Provence,43.5298424,5.4474738,76.33,13.0,0.0,0.0,70.423611,1.533194,59.155556,complet,True,3533916.0,La Gracette,https://www.booking.com/hotel/fr/la-gracette.html?checkin=2025-12-11&checkout=2025-12-13&group_adults=2&no_rooms=1&group_children=&chal_t=1762887784311&force_referer=,BED_AND_BREAKFAST,8.5,68.0,107.56,53.78,43.490778,5.383993,7.7776000000000005,44,"Non-smoking rooms, Free Wifi, Free parking, Family rooms, Garden"
